Id,avg_total_steps,avg_total_hours_asleep
1503960366,12520.633333333344,6.0046666666666706
1644430081,7282.966666666669,4.8999999999999995
1844505072,3808.6666666666656,10.866666666666667
1927972279,1670.5882352941178,6.9499999999999993
2026352035,5566.87096774193,8.4363095238095216
2320127002,4716.8709677419356,1.0166666666666666
2347167796,9519.6666666666624,7.44666666666667
3977333714,10984.566666666664,4.8940476190476181
4020332650,4134.3529411764712,5.8229166666666661
4319703577,7268.8387096774168,7.9442307692307663
4388161847,10813.93548387097,6.7187500000000027
4445114986,4796.5483870967764,6.4196428571428577
4558609924,7685.1290322580653,2.1266666666666678
4702921684,8857.8000000000084,7.0190476190476252
5553957443,8612.580645161288,7.724731182795697
5577150313,8897.60714285714,7.200000000000002
6117666160,8578.6086956521758,7.979629629629633
6775888955,3853.6470588235279,5.8277777777777784
6962181067,9794.80645161291,7.4666666666666641
7007744171,12267.041666666666,1.1416666666666666
7086361926,9684.1666666666661,7.5520833333333339
8053475328,14763.29032258064,4.9500000000000011
8378563200,8717.7096774193633,7.3890625
8792009665,2829.3684210526312,7.2611111111111066